Name,Event,OlypQualTime,OlypRecord,Final,Heat,Semi,AvgTime,SDTime,RelTime_OQT,RelTime_ORT,Podium,RelTime_OQT_LR,RelTime_ORT_LR
WATTEL Marie,Women's 100m Butterfly,8640,200880,3387,3428,3376,3397,27.40437921,-1.543420665,-58.13453047,0,1,1
HANSSON Louise,Women's 100m Butterfly,8640,200880,3382,3457,3452,3430.333333,41.93248542,-1.518705665,-57.55990671,0,1,1
SHKURDAI Anastasiya,Women's 100m Butterfly,8640,200880,3425,3459,3439,3441,17.08800749,-1.510897995,-57.37837838,0,1,1
PEATY Adam,Men's 100m Breaststroke,3619,3433,3457,3476,3483,3472,13.45362405,-0.04233871,0.011232719,1,1,0
MASSE Kylie,Women's 100m Backstroke,3630,208020,3492,3497,3489,3492.666667,4.041451884,-0.039320481,-58.55907616,1,1,1
KAMMINGA Arno,Men's 100m Breaststroke,3619,3433,3480,3500,3499,3493,11.26942767,-0.036072144,0.017177212,1,1,0
McKEOWN Kaylee,Women's 100m Backstroke,3630,208020,3467,3508,3491,3488.666667,20.59935274,-0.040512135,-58.6273648,1,1,1
SMITH Regan,Women's 100m Backstroke,3630,208020,3485,3516,3506,3502.333333,15.82192572,-0.036451889,-58.39468925,1,1,1
WHITE Rhyan Elizabeth,Women's 100m Backstroke,3630,208020,3523,3542,3526,3530.333333,10.21436896,-0.028231517,-57.92361439,0,1,1
ANDREW Michael,Men's 100m Breaststroke,3619,3433,3564,3542,3579,3561.666667,18.61003314,-0.016097333,0.036125409,0,1,0
WILSON Andrew,Men's 100m Breaststroke,3619,3433,3579,3543,3558,3560,18.08314132,-0.016573034,0.035674157,0,1,0
MARTINENGHI Nicolo,Men's 100m Breaststroke,3619,3433,3513,3548,3508,3523,21.79449472,-0.027249503,0.025546409,1,1,0
DAWSON Kathleen,Women's 100m Backstroke,3630,208020,3550,3549,3536,3545,7.810249676,-0.023977433,-57.67983075,0,1,1
YAN Zibei,Men's 100m Breaststroke,3619,3433,3579,3555,3552,3562,14.79864859,-0.016002246,0.036215609,0,1,0
