Name,Event,Final,Heat,Semi,RoundsCompare,Time
MURPHY Ryan,Men's 200m Backstroke,114.15,116.92,115.38,Semis vs Finals,0.010660426
MURPHY Ryan,Men's 200m Backstroke,114.15,116.92,115.38,Heats vs Finals,0.023691413
GREENBANK Luke,Men's 200m Backstroke,114.72,114.63,114.98,Semis vs Finals,0.002261263
GREENBANK Luke,Men's 200m Backstroke,114.72,114.63,114.98,Heats vs Finals,-7.85E-04
MEFFORD Bryce,Men's 200m Backstroke,115.49,116.37,116.37,Semis vs Finals,0.007562086
MEFFORD Bryce,Men's 200m Backstroke,115.49,116.37,116.37,Heats vs Finals,0.007562086
TELEGDY Adam,Men's 200m Backstroke,116.15,117.7,116.19,Semis vs Finals,3.44E-04
TELEGDY Adam,Men's 200m Backstroke,116.15,117.7,116.19,Heats vs Finals,0.013169074
KAWECKI Radoslaw,Men's 200m Backstroke,116.39,116.83,116.68,Semis vs Finals,0.00248543
KAWECKI Radoslaw,Men's 200m Backstroke,116.39,116.83,116.68,Heats vs Finals,0.003766156
IRIE Ryosuke,Men's 200m Backstroke,117.32,116.97,116.69,Semis vs Finals,-0.00539892
IRIE Ryosuke,Men's 200m Backstroke,117.32,116.97,116.69,Heats vs Finals,-0.00299222
GARCIA SAIZ Nicolas,Men's 200m Backstroke,119.06,117.62,116.35,Semis vs Finals,-0.023291792
GARCIA SAIZ Nicolas,Men's 200m Backstroke,119.06,117.62,116.35,Heats vs Finals,-0.012242816
MILAK Kristof,Men's 200m Butterfly,111.25,113.58,112.22,Semis vs Finals,0.008643736
MILAK Kristof,Men's 200m Butterfly,111.25,113.58,112.22,Heats vs Finals,0.020514175
HONDA Tomoru,Men's 200m Butterfly,113.73,115.1,115.31,Semis vs Finals,0.013702194
HONDA Tomoru,Men's 200m Butterfly,113.73,115.1,115.31,Heats vs Finals,0.011902693
BURDISSO Federico,Men's 200m Butterfly,114.45,115.14,115.11,Semis vs Finals,0.005733646
BURDISSO Federico,Men's 200m Butterfly,114.45,115.14,115.11,Heats vs Finals,0.005992705
KENDERESI Tamas,Men's 200m Butterfly,114.52,115.18,115.17,Semis vs Finals,0.005643831
KENDERESI Tamas,Men's 200m Butterfly,114.52,115.18,115.17,Heats vs Finals,0.005730161
le CLOS Chad,Men's 200m Butterfly,114.93,115.96,115.06,Semis vs Finals,0.001129845
le CLOS Chad,Men's 200m Butterfly,114.93,115.96,115.06,Heats vs Finals,0.008882373
de DEUS Leonardo,Men's 200m Butterfly,115.19,114.83,114.97,Semis vs Finals,-0.001913543
de DEUS Leonardo,Men's 200m Butterfly,115.19,114.83,114.97,Heats vs Finals,-0.003135069
BENTZ Gunnar,Men's 200m Butterfly,115.46,115.46,115.28,Semis vs Finals,-0.001561416
BENTZ Gunnar,Men's 200m Butterfly,115.46,115.46,115.28,Heats vs Finals,0
CHMIELEWSKI Krzysztof,Men's 200m Butterfly,115.88,115.77,115.29,Semis vs Finals,-0.00511753
CHMIELEWSKI Krzysztof,Men's 200m Butterfly,115.88,115.77,115.29,Heats vs Finals,-9.50E-04
STUBBLETY-COOK Izaac,Men's 200m Breaststroke,126.38,127.37,127.35,Semis vs Finals,0.007616804
STUBBLETY-COOK Izaac,Men's 200m Breaststroke,126.38,127.37,127.35,Heats vs Finals,0.007772631
KAMMINGA Arno,Men's 200m Breaststroke,127.01,127.37,127.99,Semis vs Finals,0.007656848
KAMMINGA Arno,Men's 200m Breaststroke,127.01,127.37,127.99,Heats vs Finals,0.002826411
MATTSSON Matti,Men's 200m Breaststroke,127.13,128.44,128.22,Semis vs Finals,0.008501014
MATTSSON Matti,Men's 200m Breaststroke,127.13,128.44,128.22,Heats vs Finals,0.010199315
